;id_proyecto;nombre_proyecto;direccion;id_programa;id_proyecto_estado;id_proyecto_subestado;coordenada_x;coordenada_y;valor_inicial_obra;valor_total_adicionado_obra;valor_total_facturado_obra;valor_total_pagado_obra;valor_inicial_interventoria;valor_total_adicionado_interventoria;valor_total_facturado_interventoria;valor_total_pagado_interventoria;fecha_entrega;ampliacion_contractual;;
;70;Escenarios - Pista de Ciclomontañismo;null;11;4;11;-74,8348804;10,99834573;$ 31.980.740.561,16;$ 3.637.932.677,41;$ 28.779.232.093,53;$ 28.779.232.093,53;null;null;null;null;20/11/2024;false;;
;71;InfraEducativa-3691 - IE Reuven [Construcción];Cra 1B # 46G - 18;5;3;7;-74,80448727;10,93165363;$ 1.374.984.440,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 79.841.522,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;5/11/2024;false;;
;72;InfraEducativa-3691 - IE Jose Eusebio Caro [Construcción];Cra 33 # 45 - 125;5;3;7;-74,78901738;10,97497145;$ 2.111.537.064,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 122.611.083,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;27/01/2025;false;;
;73;InfraEducativa-3691 - IE Juan Jose Rondon [Construcción];Cra 25B # 68 - 20;5;3;7;-74,80812694;10,97458783;$ 405.015.605,78;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 23.518.130,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;22/07/2024;false;;
;74;InfraEducativa-3691 - IE Carrizal [Construcción];Calle 50D 3 31A - 37;5;3;7;-74,80860556;10,93751667;$ 6.245.181.088,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 362.640.293,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;30/08/2025;false;;
;75;InfraEducativa-3691 - IE Mayor de Barranquilla [Construcción];Calle 47 # 44 - 97 ;5;3;7;-74,78699384;10,98584109;$ 3.559.766.405,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 206.705.733,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;15/07/2025;false;;
;76;InfraEducativa-3691 - IE Jorge Nicolas Abello sede 2 [Cocina];Calle 64 # 25 - Esq;5;3;7;-74,80536193;10,97291023;$ 138.325.539,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 8.032.179,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;26/07/2024;false;;
;77;InfraEducativa-3691 - Ideth Sede 2 [Cocina];Cra 28 # 63b - 87;5;3;7;-74,80478091;10,97645661;$ 301.355.388,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 17.498.869,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;29/10/2024;false;;
;78;InfraEducativa-3691 - IE Insteco Sede 2 [Cocina];Cl 39 # 38 -63;5;3;7;-74,78232856;10,97845518;$ 245.789.393,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 14.272.306,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;17/01/2025;false;;
;79;InfraEducativa-3691 - IE La Libertad [Cocina];Cra 26A # 74B - 139;5;3;7;-74,81654833;10,97709795;$ 277.730.081,36;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 16.127.013,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;25/04/2025;false;;
;80;InfraEducativa-3691 - IE Insteco Sede 1 [Cocina];Cl 47 # 42 - 60;5;3;7;-74,78722611;10,98309233;$ 153.482.039,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 8.912.275,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;15/08/2025;false;;
;81;InfraEducativa-3691 - IE Sonia Ahumada [Cocina];Cra 12A #94 - 75;5;3;7;-74,82929192;10,96282957;$ 151.020.467,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 8.769.338,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;29/10/2024;false;;
;82;InfraEducativa-3691 - IE Nuestra Señora de las Nieves [Cocina];Cra 10 # 23 - 13;5;3;7;-74,77679484;10,94980015;$ 225.259.654,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 13.080.201,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;29/10/2024;false;;
;83;InfraEducativa-3691 - IE Ciudadela Estudiantil [Cocina];Cra 1A # 47 - 49;5;3;7;-74,80773795;10,93144477;$ 547.819.451,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 31.810.352,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;19/05/2025;false;;
;84;InfraEducativa-3691 - IE Simón Bolivar [Cocina];Cra 5A # 19 - 15;5;3;7;-74,77757941;10,94370833;$ 447.711.864,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 25.997.383,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;25/04/2025;false;;
;85;InfraEducativa-3691 - IE Carlos Meisel [Cocina];Cl 74 # 24 -139;5;3;7;-74,80799035;10,97885239;$ 365.000.000,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 21.195.779,79;null;$ 1.552.067.709,42;$ 1.552.067.709,42;15/09/2025;false;;
;86;InfraEducativa-3691 - IE Santa María [Cocina];Cra. 5 Sur #78b- 80;5;3;7;-74,82153265;10,93097012;$ 558.000.000,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 32.452.891,65;null;$ 1.552.067.709,42;$ 1.552.067.709,42;30/09/2025;false;;
;87;InfraEducativa-3691 - IE Santa Magdalena Sofía[Cocina];Cl. 84b #76-17;5;3;7;-74,80715863;11,02313995;$ 598.000.000,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 34.757.322,58;null;$ 1.552.067.709,42;$ 1.552.067.709,42;26/09/2025;false;;
;88;InfraEducativa-3691 - IE Hilda Muñoz[Cocina];CL. 70C # 24B - 24;5;3;7;-74,81026864;10,97348021;$ 133.000.000,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 7.722.940,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;30/07/2025;false;;
;89;InfraEducativa-3691 - IE CODEBA[Cocina]; Cl. 68 #47-64;5;3;7;-74,80070464;10,99378414;$ 195.000.000,00;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 11.323.108,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;30/09/2025;false;;
;90;InfraEducativa-3691 - IE Salvador Entregas[Cocina];CL 58 20 B 40;5;3;7;-74,80242502;10,9672064;$ 690.821.215,72;null;$ 27.569.081.197,83;$ 26.728.811.132,41;$ 40.114.066,00;null;$ 1.552.067.709,42;$ 1.552.067.709,42;11/08/2025;false;;
